P,L2-NORM,MAX C_in,MAX C_SR,MAX y,PERIOD,point_type,system_id
0.24666291515,15.548525778,0.2073699412,15.542399673,0.3840103998,2.5084106664,,P1
0.2466621715,15.548558689,0.20738237022,15.542502111,0.38401358337,2.5084126762,,P1
0.24666267015,15.54853635,0.20741625315,15.542666719,0.38402159214,2.5084113412,,P1
0.24666225767,15.548553551,0.20746783344,15.542969742,0.38403407982,2.5084125147,,P1
0.2466626435,15.548532248,0.20756917037,15.543508783,0.38405825611,2.508411702,,P1
0.24666404784,15.548453275,0.20776947397,15.544536912,0.3841057072,2.5084088233,,P1
0.24666710502,15.548281512,0.20801780045,15.545736559,0.38416387736,2.5084025477,,P1
0.24667152764,15.548033057,0.20826209975,15.546836222,0.38422039965,2.5083934673,,P1
0.24667721114,15.54771379,0.20850106711,15.547834588,0.38427501143,2.5083817972,,P1
0.24668403881,15.547330267,0.2087338896,15.548733728,0.38432757125,2.5083677785,,P1
0.24669189108,15.546889207,0.20896008676,15.549537979,0.38437803189,2.5083516576,,P1
0.24670065244,15.546397106,0.20917943427,15.550252591,0.38442639291,2.5083336725,,P1
0.24671021576,15.545859986,0.20939193803,15.550883607,0.3844727102,2.5083140438,,P1
0.24672048451,15.545283274,0.20959768365,15.551437091,0.38451704852,2.5082929705,,P1
0.24673137333,15.544671771,0.20979690827,15.551919212,0.38455951012,2.5082706282,,P1
0.24674280766,15.544029668,0.20998989508,15.552335706,0.38460018886,2.5082471706,,P1
0.24675472289,15.543360599,0.2101769496,15.552692164,0.38463921096,2.5082227307,,P1
0.24676706323,15.542667703,0.2103583916,15.552993408,0.38467667195,2.5081974235,,P1
0.24677978058,15.541953683,0.21053453631,15.553243983,0.38471268367,2.5081713479,,P1
0.24679283349,15.541220871,0.21070570523,15.553447831,0.38474731991,2.5081445895,,P1
0.24680618616,15.540471281,0.21087218664,15.553608722,0.38478067996,2.5081172219,,P1
0.24681980764,15.539706654,0.21103422508,15.55373015,0.38481285131,2.508089309,,P1
0.24683367104,15.538928501,0.21119215776,15.553814787,0.38484390084,2.5080609061,,P1
0.24684775298,15.538138138,0.21134618764,15.553865442,0.38487390329,2.5080320615,,P1
0.24686203303,15.537336715,0.2114965579,15.553884402,0.38490291999,2.5080028171,,P1
0.2468764933,15.536525237,0.2116434381,15.553874074,0.3849310165,2.5079732101,,P1
0.24689111803,15.535704591,0.21178704488,15.553836332,0.38495824433,2.5079432727,,P1
0.24690589334,15.534875559,0.21192756267,15.553773035,0.38498465774,2.5079130336,,P1
0.24692080691,15.534038833,0.21206514917,15.553685765,0.38501029481,2.5078825183,,P1
0.24693584781,15.533195028,0.21219996134,15.553575963,0.38503520173,2.5078517493,,P1
0.24695100628,15.532344694,0.21233215389,15.553444945,0.38505941641,2.5078207467,,P1
0.24696627359,15.531488321,0.21246183981,15.553293998,0.3850829773,2.5077895284,,P1
0.24698164193,15.530626349,0.21258914802,15.553124214,0.38510591648,2.5077581108,,P1
0.24699710424,15.529759176,0.21271416678,15.552936585,0.38512823782,2.5077265082,,P1
0.24701265417,15.528887158,0.21283704673,15.552732141,0.38515002364,2.5076947338,,P1
0.24702828597,15.52801062,0.21295786651,15.552511709,0.38517127374,2.5076627995,,P1
0.2470439944,15.527129855,0.21307674034,15.552276125,0.38519204103,2.5076307161,,P1
0.24705977473,15.526245132,0.21319371159,15.552026064,0.38521229208,2.5075984933,,P1
0.24707562263,15.525356693,0.21330888016,15.551762257,0.38523207641,2.5075661402,,P1
0.24709153412,15.524464761,0.21342225905,15.551485351,0.3852513851,2.5075336648,,P1
0.2471075056,15.523569541,0.21353406321,15.551195939,0.38527029459,2.5075010747,,P1
0.24712353372,15.52267122,0.21364427617,15.55089457,0.38528879355,2.5074683767,,P1
0.24713961543,15.521769971,0.21375295058,15.550581775,0.3853069216,2.5074355772,,P1
0.2471557479,15.520865951,0.21386016346,15.550258023,0.38532464742,2.507402682,,P1
0.24717192853,15.519959309,0.21396595998,15.549923768,0.38534200898,2.5073696965,,P1
0.24718815491,15.51905018,0.21407044109,15.549579169,0.38535902653,2.5073366256,,P1
0.2472044248,15.518138689,0.21417354301,15.549225208,0.38537570005,2.5073034741,,P1
0.24722073612,15.517224954,0.21427537477,15.548861939,0.38539204788,2.5072702461,,P1
0.24723708696,15.516309083,0.21437594884,15.548489493,0.3854080682,2.5072369457,,P1
0.24725347551,15.515391178,0.21447536579,15.548108657,0.38542379846,2.5072035766,,P1
0.24726990009,15.514471331,0.21457363645,15.547719506,0.38543923553,2.5071701422,,P1
0.24728635916,15.513549633,0.21467083762,15.547322394,0.38545437438,2.5071366457,,P1
0.24730285123,15.512626164,0.21476692804,15.546917476,0.38546925361,2.5071030903,,P1
0.24731937496,15.511701003,0.21486197796,15.546505079,0.38548386727,2.5070694787,,P1
0.24733592903,15.510774221,0.21495609232,15.546085442,0.38549822096,2.5070358136,,P1
0.24735251227,15.509845887,0.2150491725,15.545658767,0.38551232795,2.5070020975,,P1
0.24736912352,15.508916064,0.21514130338,15.545225324,0.38552619308,2.5069683327,,P1
0.24738576173,15.507984813,0.21523240752,15.5447855,0.38553980587,2.5069345214,,P1
0.24740242589,15.507052189,0.21532270444,15.544339206,0.38555320713,2.5069006657,,P1
0.24741911506,15.506118247,0.21541213075,15.543886752,0.38556638699,2.5068667676,,P1
0.24743582833,15.505183037,0.21550080082,15.543428199,0.38557935404,2.506832829,,P1
0.24745256487,15.504246606,0.21558856244,15.542963995,0.38559211059,2.5067988515,,P1
0.24746932388,15.503308999,0.21567552238,15.542494157,0.38560466357,2.5067648369,,P1
0.24748610459,15.50237026,0.21576175578,15.542018448,0.38561701678,2.5067307866,,P1
0.2475029063,15.501430428,0.21584719277,15.541537734,0.38562917867,2.5066967022,,P1
0.24751972832,15.500489541,0.21593188877,15.541051843,0.38564115261,2.5066625852,,P1
0.24753657001,15.499547638,0.21601586165,15.540561014,0.38565295895,2.5066284367,,P1
0.24755343075,15.49860475,0.21609911945,15.540065319,0.38566457028,2.5065942581,,P1
0.24757030997,15.497660913,0.21618168961,15.539564851,0.38567600742,2.5065600507,,P1
0.2475872071,15.496716157,0.21626361293,15.539060102,0.3856873115,2.5065258155,,P1
0.24760412163,15.495770511,0.216344869,15.538550385,0.38569841362,2.5064915537,,P1
0.24762105304,15.494824005,0.21642548505,15.538036247,0.38570935376,2.5064572663,,P1
0.24763800085,15.493876664,0.21650547336,15.537516841,0.38572013347,2.5064229542,,P1
0.24765496461,15.492928516,0.21658485308,15.536994286,0.3857307607,2.5063886185,,P1
0.24767194389,15.491979585,0.21666363517,15.536467624,0.38574123684,2.5063542601,,P1
0.24768893826,15.491029894,0.21674178264,15.535935652,0.38575155342,2.5063198798,,P1
0.24770594732,15.490079466,0.216819413,15.535400855,0.38576173709,2.5062854784,,P1
0.24772297069,15.489128323,0.21689648382,15.534862276,0.38577177943,2.5062510568,,P1
0.24774000801,15.488176484,0.21697304361,15.534321319,0.38578168124,2.5062166156,,P1
0.24775705892,15.487223971,0.21704902407,15.533775347,0.38579144981,2.5061821557,,P1
0.24777412309,15.486270802,0.21712447916,15.533225796,0.3858010858,2.5061476778,,P1
0.2477912002,15.485316995,0.21719930889,15.532672625,0.38581059016,2.5061131824,,P1
0.24780828994,15.484362567,0.21727373569,15.532116141,0.38581996905,2.5060786703,,P1
0.24782539201,15.483407536,0.21734766805,15.531556302,0.38582922327,2.506044142,,P1
0.24784250612,15.482451917,0.21742111024,15.530994529,0.38583836434,2.5060095982,,P1
0.24785963201,15.481495727,0.21749408217,15.530428369,0.3858473767,2.5059750394,,P1
0.2478767694,15.480538979,0.21756658778,15.529859058,0.38585627156,2.5059404662,,P1
0.24789391805,15.479581688,0.21763869975,15.529285991,0.3858650531,2.5059058791,,P1
0.24791107771,15.478623868,0.21771032361,15.52871043,0.38587371965,2.5058712785,,P1
0.24792824815,15.477665533,0.21778150691,15.528131901,0.38588227524,2.5058366651,,P1
0.24794542914,15.476706695,0.21785232742,15.527551147,0.38589073049,2.5058020392,,P1
0.24796262046,15.475747366,0.21792264995,15.526967014,0.38589907036,2.5057674013,,P1
0.24797982191,15.474787558,0.21799255529,15.526380081,0.3859073052,2.5057327519,,P1
0.24799703328,15.473827283,0.21806187265,15.52579042,0.3859154218,2.5056980914,,P1
0.24801425437,15.472866551,0.21813097297,15.525197934,0.38592345255,2.5056634201,,P1
0.248031485,15.471905374,0.21819967758,15.5246028,0.38593138373,2.5056287386,,P1
0.24804872498,15.470943762,0.21826812177,15.524005243,0.38593923256,2.505594047,,P1
0.24806597415,15.469981725,0.21833603836,15.523404964,0.38594696933,2.5055593459,,P1
0.24808323232,15.469019272,0.21840357881,15.522802177,0.38595461151,2.5055246356,,P1
0.24810049933,15.468056412,0.21847071152,15.522196256,0.38596215257,2.5054899164,,P1
0.24811777504,15.467093155,0.2185375337,15.521588549,0.38596961066,2.5054551886,,P1
0.24813505927,15.46612951,0.218603998,15.520978518,0.38597697879,2.5054204526,,P1
0.24815235189,15.465165484,0.21867012038,15.520367189,0.38598425399,2.5053857087,,P1
0.24816965274,15.464201086,0.21873588543,15.519752617,0.38599144652,2.5053509572,,P1
0.2481869617,15.463236324,0.21880130934,15.519135781,0.38599855332,2.5053161983,,P1
