BR,PT,TY,LAB,P,L2-NORM,C_in,C_SR,y,stability,system_id
1,1,EP,1,0.00000E+00,2.59624E+01,1.34315E-01,2.59576E+01,4.80874E-01,3,P1
1,101,,0,1.10235E-01,2.35145E+01,1.77157E-01,2.35100E+01,4.24962E-01,3,P1
1,201,,0,1.88825E-01,1.85161E+01,1.96009E-01,1.85107E+01,3.98398E-01,3,P1
1,261,HB,2,2.46663E-01,1.55485E+01,2.07370E-01,1.55424E+01,3.84010E-01,1,P1
1,301,,0,2.98409E-01,1.35500E+01,2.16373E-01,1.35431E+01,3.73756E-01,1,P1
1,401,,0,5.73651E-01,8.56267E+00,2.54095E-01,8.55204E+00,3.42724E-01,1,P1
1,426,HB,3,7.48887E-01,7.34120E+00,2.73318E-01,7.32851E+00,3.33761E-01,3,P1
1,477,UZ,4,1.99997E+00,5.33590E+00,3.83121E-01,5.31157E+00,3.35149E-01,3,P1
