BR,PT,TY,LAB,V,L2-NORM,C_in,C_SR,U(3),U(4),stability,system_id
1,5101,,0,-5.74565E+01,2.75795E+01,1.67081E-01,2.75790E+01,0.00000E+00,0.00000E+00,4,P1
1,5201,,0,-5.74066E+01,2.75824E+01,1.67204E-01,2.75819E+01,0.00000E+00,0.00000E+00,4,P1
1,5301,,0,-5.73567E+01,2.75853E+01,1.67328E-01,2.75848E+01,0.00000E+00,0.00000E+00,4,P1
1,5401,,0,-5.73068E+01,2.75882E+01,1.67452E-01,2.75877E+01,0.00000E+00,0.00000E+00,4,P1
1,5501,,0,-5.72569E+01,2.75910E+01,1.67575E-01,2.75905E+01,0.00000E+00,0.00000E+00,4,P1
1,5601,,0,-5.72069E+01,2.75939E+01,1.67699E-01,2.75934E+01,0.00000E+00,0.00000E+00,4,P1
1,5701,,0,-5.71570E+01,2.75967E+01,1.67823E-01,2.75962E+01,0.00000E+00,0.00000E+00,4,P1
1,5801,,0,-5.71071E+01,2.75995E+01,1.67947E-01,2.75990E+01,0.00000E+00,0.00000E+00,4,P1
1,5901,,0,-5.70572E+01,2.76023E+01,1.68071E-01,2.76018E+01,0.00000E+00,0.00000E+00,4,P1
1,6001,,0,-5.70072E+01,2.76051E+01,1.68195E-01,2.76045E+01,0.00000E+00,0.00000E+00,4,P1
1,6101,,0,-5.69573E+01,2.76078E+01,1.68319E-01,2.76073E+01,0.00000E+00,0.00000E+00,4,P1
1,6201,,0,-5.69074E+01,2.76105E+01,1.68443E-01,2.76100E+01,0.00000E+00,0.00000E+00,4,P1
1,6301,,0,-5.68575E+01,2.76133E+01,1.68568E-01,2.76127E+01,0.00000E+00,0.00000E+00,4,P1
1,6401,,0,-5.68075E+01,2.76160E+01,1.68692E-01,2.76154E+01,0.00000E+00,0.00000E+00,4,P1
1,6501,,0,-5.67576E+01,2.76186E+01,1.68816E-01,2.76181E+01,0.00000E+00,0.00000E+00,4,P1
1,6601,,0,-5.67077E+01,2.76213E+01,1.68941E-01,2.76208E+01,0.00000E+00,0.00000E+00,4,P1
1,6701,,0,-5.66578E+01,2.76240E+01,1.69066E-01,2.76234E+01,0.00000E+00,0.00000E+00,4,P1
1,6801,,0,-5.66078E+01,2.76266E+01,1.69190E-01,2.76261E+01,0.00000E+00,0.00000E+00,4,P1
1,6901,,0,-5.65579E+01,2.76292E+01,1.69315E-01,2.76287E+01,0.00000E+00,0.00000E+00,4,P1
1,7001,,0,-5.65080E+01,2.76318E+01,1.69440E-01,2.76313E+01,0.00000E+00,0.00000E+00,4,P1
1,7101,,0,-5.64580E+01,2.76344E+01,1.69565E-01,2.76338E+01,0.00000E+00,0.00000E+00,4,P1
1,7201,,0,-5.64081E+01,2.76369E+01,1.69690E-01,2.76364E+01,0.00000E+00,0.00000E+00,4,P1
1,7301,,0,-5.63582E+01,2.76395E+01,1.69814E-01,2.76389E+01,0.00000E+00,0.00000E+00,4,P1
1,7401,,0,-5.63082E+01,2.76420E+01,1.69940E-01,2.76415E+01,0.00000E+00,0.00000E+00,4,P1
1,7501,,0,-5.62583E+01,2.76445E+01,1.70065E-01,2.76440E+01,0.00000E+00,0.00000E+00,4,P1
1,7601,,0,-5.62083E+01,2.76470E+01,1.70190E-01,2.76465E+01,0.00000E+00,0.00000E+00,4,P1
1,7701,,0,-5.61584E+01,2.76495E+01,1.70315E-01,2.76489E+01,0.00000E+00,0.00000E+00,4,P1
1,7801,,0,-5.61085E+01,2.76519E+01,1.70440E-01,2.76514E+01,0.00000E+00,0.00000E+00,4,P1
1,7901,,0,-5.60585E+01,2.76543E+01,1.70565E-01,2.76538E+01,0.00000E+00,0.00000E+00,4,P1
1,8001,,0,-5.60086E+01,2.76568E+01,1.70691E-01,2.76562E+01,0.00000E+00,0.00000E+00,4,P1
1,8101,,0,-5.59586E+01,2.76592E+01,1.70816E-01,2.76586E+01,0.00000E+00,0.00000E+00,4,P1
1,8201,,0,-5.59087E+01,2.76615E+01,1.70941E-01,2.76610E+01,0.00000E+00,0.00000E+00,4,P1
1,8301,,0,-5.58588E+01,2.76639E+01,1.71067E-01,2.76634E+01,0.00000E+00,0.00000E+00,4,P1
1,8401,,0,-5.58088E+01,2.76663E+01,1.71192E-01,2.76657E+01,0.00000E+00,0.00000E+00,4,P1
1,8501,,0,-5.57589E+01,2.76686E+01,1.71318E-01,2.76681E+01,0.00000E+00,0.00000E+00,4,P1
1,8601,,0,-5.57089E+01,2.76709E+01,1.71443E-01,2.76704E+01,0.00000E+00,0.00000E+00,4,P1
1,8701,,0,-5.56590E+01,2.76732E+01,1.71569E-01,2.76727E+01,0.00000E+00,0.00000E+00,4,P1
1,8801,,0,-5.56090E+01,2.76755E+01,1.71695E-01,2.76749E+01,0.00000E+00,0.00000E+00,4,P1
1,8901,,0,-5.55591E+01,2.76777E+01,1.71820E-01,2.76772E+01,0.00000E+00,0.00000E+00,4,P1
1,9001,,0,-5.55091E+01,2.76800E+01,1.71946E-01,2.76794E+01,0.00000E+00,0.00000E+00,4,P1
1,9101,,0,-5.54592E+01,2.76822E+01,1.72072E-01,2.76817E+01,0.00000E+00,0.00000E+00,4,P1
1,9201,,0,-5.54092E+01,2.76844E+01,1.72197E-01,2.76839E+01,0.00000E+00,0.00000E+00,4,P1
1,9301,,0,-5.53593E+01,2.76866E+01,1.72323E-01,2.76861E+01,0.00000E+00,0.00000E+00,4,P1
1,9401,,0,-5.53093E+01,2.76888E+01,1.72449E-01,2.76882E+01,0.00000E+00,0.00000E+00,4,P1
1,9501,,0,-5.52594E+01,2.76909E+01,1.72575E-01,2.76904E+01,0.00000E+00,0.00000E+00,4,P1
1,9601,,0,-5.52094E+01,2.76930E+01,1.72700E-01,2.76925E+01,0.00000E+00,0.00000E+00,4,P1
1,9701,,0,-5.51595E+01,2.76952E+01,1.72826E-01,2.76946E+01,0.00000E+00,0.00000E+00,4,P1
1,9801,,0,-5.51095E+01,2.76973E+01,1.72952E-01,2.76967E+01,0.00000E+00,0.00000E+00,4,P1
1,9901,,0,-5.50595E+01,2.76994E+01,1.73078E-01,2.76988E+01,0.00000E+00,0.00000E+00,4,P1
1,2,,0,-5.50096E+01,2.77014E+01,1.73204E-01,2.77009E+01,0.00000E+00,0.00000E+00,4,P1
