P,L2-NORM,C_in,C_SR,y,point_type,system_id
0.0,26.939519851,0.14932499826,26.934328079,0.50734877586,EP,P1
3.1425009511e-05,26.939706578,0.14932937714,26.934515686,0.50730267445,,P1
3.8105008933e-05,26.939856152,0.14933234201,26.934665387,0.50729658956,,P1
5.146798506e-05,26.940155294,0.14933827257,26.934964783,0.50728441787,,P1
7.8206905566e-05,26.940753577,0.14935013743,26.935563575,0.50726006584,,P1
0.00013173692376,26.94195014,0.14937388223,26.936761154,0.50721132696,,P1
0.00023900811928,26.944343246,0.14942143319,26.939156295,0.50711370784,,P1
0.00045441505577,26.949129385,0.14951678842,26.943946511,0.50691788793,,P1
0.00088885152746,26.958701346,0.14970857759,26.953526657,0.50652378711,,P1
0.0017736231979,26.977843846,0.15009702679,26.972685667,0.50572459719,,P1
0.0031473984454,27.00655327,0.15069456024,27.00142029,0.50449280051,,P1
0.0053442067082,27.049603986,0.1516363139,27.044510161,0.50254588121,,P1
0.0081862117213,27.099398847,0.15283055304,27.094353512,0.50006844973,,P1
0.011585223425,27.149124459,0.15422499785,27.144133801,0.49716571971,,P1
0.016321870125,27.198637698,0.15611069031,27.193717077,0.49322775408,,P1
0.020855947945,27.222826624,0.15785749817,27.217966306,0.48957182819,,P1
0.022153376546,27.225416181,0.15834747904,27.220571916,0.488545638,,P1
0.024506855373,27.225118426,0.15922557078,27.220301935,0.48670638868,,P1
0.025186181664,27.22382979,0.15947652083,27.219020996,0.48618076296,,P1
0.025722964743,27.222429761,0.15967403401,27.217626947,0.48576708407,,P1
0.026383295093,27.220244981,0.15991607202,27.215449403,0.48526018618,,P1
0.027190051722,27.216883354,0.16021039575,27.212096437,0.48464385562,,P1
0.028173092118,27.211758551,0.16056699842,27.206981918,0.48389723926,,P1
0.029370562253,27.203991723,0.16099841502,27.199227227,0.48299422615,,P1
0.030830494591,27.192264723,0.16152005631,27.187514446,0.48190280083,,P1
0.032613017456,27.174600264,0.16215064865,27.169866497,0.48058421575,,P1
0.034793418567,27.148032348,0.16291281134,27.143317529,0.47899194663,,P1
0.036632693546,27.12142467,0.16354809588,27.116724787,0.47766617611,,P1
0.039007436741,27.081475978,0.16435830885,27.076793992,0.47597756546,,P1
0.041563449534,27.031563253,0.16521814532,27.026898823,0.47418866044,,P1
0.043821884701,26.981630083,0.16596768156,26.976979732,0.47263221945,,P1
0.045871780425,26.931684435,0.16663998267,26.927045728,0.47123878215,,P1
0.047765366817,26.881730432,0.16725442179,26.877101544,0.469967627,,P1
0.049536361687,26.831770476,0.16782349186,26.827149975,0.46879247979,,P1
0.051208015457,26.781806083,0.16835579867,26.777192806,0.46769523187,,P1
0.05279715497,26.731838267,0.16885756435,26.727231246,0.46666278374,,P1
0.054316417973,26.68186774,0.16933345768,26.677266155,0.4656853014,,P1
0.055775578691,26.63189502,0.16978708632,26.62729816,0.46475518238,,P1
0.057182379005,26.581920493,0.17022130532,26.57732774,0.4638664075,,P1
0.058543073383,26.531944457,0.17063841926,26.527355261,0.463014116,,P1
0.059862799473,26.481967144,0.17104031964,26.477381015,0.46219431674,,P1
0.061145837992,26.431988738,0.1714285812,26.427405236,0.46140368564,,P1
0.062395799799,26.38200939,0.17180453118,26.377428115,0.46063941994,,P1
0.063615763611,26.332029221,0.17216930034,26.327449809,0.45989913094,,P1
0.064808379402,26.282048335,0.1725238612,26.277470449,0.4591807635,,P1
0.065975947366,26.232066814,0.17286905724,26.227490147,0.45848253452,,P1
0.067120479156,26.182084733,0.17320562556,26.177508997,0.45780288529,,P1
0.06824374602,26.132102152,0.17353421467,26.127527081,0.45714044407,,P1
0.069347317107,26.082119123,0.17385539861,26.077544468,0.4564939962,,P1
0.070432590288,26.032135693,0.17416968836,26.02756122,0.45586246019,,P1
0.071500817197,25.982151901,0.17447754107,25.977577391,0.45524486822,,P1
0.072553123769,25.932167782,0.17477936763,25.927593027,0.45464035015,,P1
0.073590527223,25.882183366,0.17507553896,25.877608171,0.45404812035,,P1
0.074613950219,25.832198681,0.1753663912,25.82762286,0.45346746666,,P1
0.075624232726,25.782213751,0.1756522301,25.777637126,0.45289774121,,P1
0.076622142059,25.732228596,0.17593333471,25.727651001,0.45233835254,,P1
0.077608381407,25.682243238,0.17620996053,25.67766451,0.45178875906,,P1
0.078583597111,25.632257692,0.17648234218,25.627677678,0.45124846336,,P1
0.079548386144,25.582271972,0.17675069616,25.577690526,0.45071700643,,P1
0.080503296569,25.532286095,0.17701522098,25.527703074,0.4501939671,,P1
0.081448839799,25.482300074,0.17727610174,25.477715343,0.44967895288,,P1
0.082385489519,25.43231392,0.17753350969,25.427727347,0.44917160054,,P1
0.08331368658,25.382327644,0.17778760403,25.377739104,0.44867157238,,P1
0.084233842135,25.332341256,0.17803853306,25.327750626,0.4481785538,,P1
0.085146340405,25.282354765,0.17828643522,25.277761927,0.44769225112,,P1
0.086051541122,25.232368179,0.17853143994,25.227773019,0.44721238974,,P1
0.086949781698,25.182381506,0.17877366849,25.177783913,0.44673871241,,P1
0.087841379153,25.132394752,0.17901323465,25.12779462,0.44627097776,,P1
0.088726631841,25.082407925,0.17925024536,25.077805148,0.44580895895,,P1
0.089605820985,25.032421031,0.17948480128,25.027815507,0.44535244249,,P1
0.090479212066,24.982434075,0.17971699729,24.977825706,0.44490122713,,P1
0.091347056067,24.932447062,0.17994692295,24.927835752,0.44445512296,,P1
0.092209590589,24.882459998,0.18017466292,24.877845652,0.44401395048,,P1
0.093067040873,24.832472888,0.18040029733,24.827855413,0.44357753984,,P1
0.093919620713,24.782485734,0.1806239021,24.777865042,0.44314573012,,P1
0.094767533294,24.732498543,0.18084554926,24.727874545,0.4427183687,,P1
0.095610971948,24.682511316,0.18106530721,24.677883927,0.44229531066,,P1
0.096450120846,24.632524059,0.18128324102,24.627893194,0.44187641823,,P1
0.097285155631,24.582536775,0.18149941258,24.57790235,0.44146156035,,P1
0.098116243995,24.532549466,0.1817138809,24.527911402,0.44105061215,,P1
0.098943546207,24.482562136,0.18192670225,24.477920352,0.44064345461,,P1
0.0997672156,24.432574788,0.18213793032,24.427929206,0.44023997414,,P1
0.10058739902,24.382587424,0.18234761645,24.377937967,0.43984006226,,P1
0.10140423722,24.332600047,0.18255580972,24.32794664,0.43944361526,,P1
