BR,PT,TY,LAB,P,L2-NORM,C_in,C_SR,y,stability,system_id
1,1,EP,1,0.00000E+00,2.69395E+01,1.49325E-01,2.69343E+01,5.07349E-01,3,P1
1,101,,0,1.14892E-01,2.34828E+01,1.85906E-01,2.34781E+01,4.33152E-01,3,P1
1,201,,0,1.93362E-01,1.84843E+01,2.02833E-01,1.84788E+01,4.04189E-01,3,P1
1,250,HB,2,2.39720E-01,1.60549E+01,2.11360E-01,1.60488E+01,3.91559E-01,1,P1
1,301,,0,3.04160E-01,1.35067E+01,2.21987E-01,1.34996E+01,3.77721E-01,1,P1
1,401,,0,5.84571E-01,8.51983E+00,2.58722E-01,8.50892E+00,3.44941E-01,1,P1
1,423,HB,3,7.35592E-01,7.45325E+00,2.74956E-01,7.44056E+00,3.36731E-01,1,P1
1,475,UZ,4,1.99998E+00,5.35632E+00,3.85633E-01,5.33180E+00,3.36607E-01,3,P1
