P,L2-NORM,MAX C_in,MAX C_SR,MAX y,PERIOD,point_type,system_id
0.23972029148,16.054926795,0.21135966755,16.048759548,0.39155902047,2.5284190536,,P1
0.23971974353,16.054952388,0.21137212882,16.048854668,0.39156215893,2.5284207368,,P1
0.23971996695,16.054941733,0.2114017552,16.049007814,0.39156917918,2.5284200599,,P1
0.23971984455,16.054946528,0.2114522656,16.04929239,0.39158128131,2.5284204803,,P1
0.2397202025,16.054925912,0.21155288723,16.049828566,0.39160517753,2.5284195646,,P1
0.23972164795,16.054842499,0.21175302959,16.05085208,0.3916523392,2.5284158751,,P1
0.23972480353,16.054660404,0.21200083449,16.05203944,0.39171005072,2.5284078209,,P1
0.23972937202,16.0543968,0.21224410264,16.053119106,0.39176596675,2.5283961588,,P1
0.23973523168,16.054058719,0.21248139138,16.054090214,0.39181980525,2.5283811998,,P1
0.23974224895,16.053653863,0.2127118748,16.054956022,0.39187143374,2.5283632867,,P1
0.23975029001,16.053189957,0.21293510784,16.055721815,0.39192081594,2.5283427621,,P1
0.23975922841,16.052674301,0.2131509448,16.056394221,0.39196797891,2.5283199497,,P1
0.23976894942,16.052113519,0.21335945221,16.056980287,0.39201298999,2.5282951433,,P1
0.2397793517,16.051513462,0.21356086082,16.057487284,0.39205596575,2.5282686022,,P1
0.23979034728,16.050879208,0.21375546608,16.057921963,0.39209701635,2.5282405516,,P1
0.23980186057,16.050215125,0.21394359853,16.058290658,0.39213626568,2.5282111849,,P1
0.23981382699,16.04952494,0.21412565921,16.058599257,0.39217383048,2.5281806675,,P1
0.23982619147,16.048811834,0.21430200565,16.058852995,0.39220982876,2.5281491403,,P1
0.23983890707,16.048078518,0.21447299877,16.059056547,0.39224436598,2.5281167235,,P1
0.23985193371,16.047327307,0.21463899443,16.059214276,0.39227755154,2.5280835197,,P1
0.23986523708,16.046560182,0.21480029767,16.059329893,0.39230947557,2.5280496168,,P1
0.23987878771,16.045778845,0.21495720775,16.059406783,0.39234023079,2.5280150902,,P1
0.23989256018,16.044984764,0.21510998473,16.059447927,0.39236988252,2.527980005,,P1
0.23990653252,16.044179209,0.21525889762,16.059456047,0.39239850962,2.5279444175,,P1
0.2399206856,16.043363283,0.21540418795,16.059433587,0.3924261865,2.5279083767,,P1
0.23993500276,16.042537951,0.21554605844,16.059382672,0.39245295627,2.5278719253,,P1
0.23994946938,16.041704057,0.21568471365,16.059305276,0.39247888193,2.5278351008,,P1
0.23996407261,16.040862341,0.2158203558,16.059202887,0.39250401522,2.5277979359,,P1
0.2399788011,16.040013461,0.21595313587,16.059077726,0.39252839902,2.52776046,,P1
0.2399936448,16.039157997,0.2160832067,16.058930889,0.39255207679,2.5277226986,,P1
0.24000859475,16.038296466,0.21621071682,16.058763725,0.3925750829,2.5276846748,,P1
0.24002364298,16.037429329,0.2163357861,16.058577358,0.39259746112,2.527646409,,P1
0.24003878233,16.036557,0.21645854264,16.05837292,0.39261924028,2.5276079196,,P1
0.24005400637,16.03567985,0.21657906069,16.058151294,0.39264045614,2.527569223,,P1
0.24006930932,16.034798213,0.21669752505,16.057913647,0.39266112597,2.5275303341,,P1
0.24008468594,16.033912393,0.21681399177,16.057660694,0.39268128088,2.5274912663,,P1
0.24010013149,16.033022662,0.21692853974,16.057393294,0.39270094085,2.5274520317,,P1
0.24011564166,16.03212927,0.21704126078,16.057111997,0.39272013618,2.5274126415,,P1
0.24013121253,16.031232444,0.21715223743,16.056817558,0.39273888379,2.5273731057,,P1
0.24014684052,16.03033239,0.21726157411,16.056510379,0.39275719945,2.5273334334,,P1
0.24016252233,16.029429299,0.2173692969,16.056191411,0.39277510892,2.5272936331,,P1
0.24017825497,16.028523345,0.21747548255,16.055861023,0.39279262515,2.5272537126,,P1
0.24019403567,16.027614687,0.21758019815,16.055520081,0.39280975421,2.5272136789,,P1
0.24020986187,16.026703472,0.21768348678,16.055168384,0.39282652984,2.5271735385,,P1
0.24022573123,16.025789837,0.21778540902,16.054806664,0.39284295693,2.5271332976,,P1
0.24024164157,16.024873907,0.21788601549,16.05443514,0.3928590676,2.5270929616,,P1
0.24025759089,16.023955799,0.2179853531,16.054054527,0.39287483703,2.5270525358,,P1
0.2402735773,16.023035621,0.21808346696,16.053665034,0.39289029511,2.527012025,,P1
0.24028959907,16.022113473,0.21818040351,16.053267225,0.39290543085,2.5269714335,,P1
0.24030565459,16.021189449,0.21827619185,16.052861041,0.39292029787,2.5269307657,,P1
0.24032174235,16.020263636,0.21837087675,16.05244693,0.39293488478,2.5268900253,,P1
0.24033786095,16.019336114,0.21846442413,16.052024688,0.3929491878,2.5268492159,,P1
0.24035400906,16.018406961,0.21855700048,16.051595469,0.39296324168,2.526808341,,P1
0.24037018546,16.017476248,0.2186485758,16.051159121,0.39297704197,2.5267674037,,P1
0.24038638898,16.016544041,0.21873922138,16.050716259,0.39299062744,2.526726407,,P1
0.24040261856,16.015610402,0.21882888835,16.050266482,0.3930039451,2.5266853537,,P1
0.24041887317,16.014675392,0.2189176424,16.049810256,0.39301703189,2.5266442463,,P1
0.24043515184,16.013739065,0.21900556965,16.049347963,0.3930298944,2.5266030873,,P1
0.24045145369,16.012801473,0.21909258093,16.048879381,0.39304253921,2.5265618792,,P1
0.24046777786,16.011862666,0.21917875558,16.04840493,0.39305497274,2.5265206239,,P1
0.24048412354,16.01092269,0.21926411928,16.047924618,0.39306721059,2.5264793237,,P1
0.24050048998,16.009981589,0.21934868934,16.047438931,0.3930792394,2.5264379805,,P1
0.24051687646,16.009039405,0.21943248928,16.046947878,0.393091074,2.5263965961,,P1
0.2405332823,16.008096177,0.21951560749,16.046451725,0.39310268727,2.5263551722,,P1
0.24054970687,16.007151942,0.21959793296,16.045950491,0.39311414899,2.5263137106,,P1
0.24056614953,16.006206735,0.21967954672,16.045444328,0.39312543144,2.5262722127,,P1
0.24058260973,16.00526059,0.21976049436,16.044933599,0.39313657352,2.5262306802,,P1
0.24059908691,16.004313539,0.21984074167,16.044417939,0.39314751092,2.5261891143,,P1
0.24061558054,16.003365612,0.21992032885,16.043897732,0.3931582822,2.5261475165,,P1
0.24063209012,16.002416839,0.21999912426,16.043371921,0.39316888938,2.526105888,,P1
0.24064861519,16.001467245,0.22007742772,16.042842874,0.39317934049,2.5260642301,,P1
0.2406651553,16.000516858,0.22015513685,16.042309615,0.39318963716,2.5260225438,,P1
0.24068171,15.999565703,0.22023224185,16.041773172,0.39319978019,2.5259808304,,P1
0.2406982789,15.998613803,0.2203087622,16.041231956,0.39320977865,2.5259390909,,P1
0.24071486159,15.997661181,0.2203847163,16.04068683,0.39321963306,2.5258973263,,P1
0.24073145771,15.996707858,0.22046024824,16.040138239,0.39322932467,2.5258555376,,P1
0.24074806689,15.995753857,0.22053508262,16.039585498,0.39323890052,2.5258137256,,P1
0.24076468879,15.994799195,0.22060938006,16.039029111,0.39324834162,2.5257718913,,P1
0.24078132309,15.993843894,0.22068314232,16.03846833,0.39325766016,2.5257300355,,P1
0.24079796946,15.992887969,0.22075639801,16.037904987,0.39326684032,2.5256881591,,P1
0.24081462761,15.99193144,0.2208291497,16.037338237,0.39327589409,2.5256462628,,P1
0.24083129725,15.990974323,0.22090142384,16.036768002,0.39328483253,2.5256043473,,P1
0.2408479781,15.990016634,0.22097319985,16.036194516,0.39329364122,2.5255624134,,P1
0.2408646699,15.989058389,0.22104450164,16.035617836,0.39330233106,2.5255204618,,P1
0.24088137239,15.988099601,0.22111530613,16.035037878,0.39331091156,2.5254784931,,P1
0.24089808531,15.987140286,0.22118568444,16.034454999,0.39331937061,2.5254365079,,P1
0.24091480845,15.986180458,0.22125561555,16.033869117,0.39332771766,2.5253945069,,P1
0.24093154157,15.985220129,0.22132513266,16.033280693,0.39333594262,2.5253524907,,P1
0.24094828444,15.984259312,0.22139420859,16.032689165,0.3933440721,2.5253104598,,P1
0.24096503687,15.983298019,0.22146286201,16.03209481,0.3933520958,2.5252684147,,P1
0.24098179864,15.982336262,0.22153113558,16.031498079,0.39336000272,2.5252263561,,P1
0.24099856957,15.981374053,0.22159896223,16.03089822,0.39336782063,2.5251842843,,P1
0.24101534946,15.980411403,0.2216663888,16.030295695,0.39337553843,2.5251421999,,P1
0.24103213813,15.979448321,0.22173341837,16.029690913,0.39338315765,2.5251001034,,P1
0.24104893541,15.978484818,0.22180006468,16.029083132,0.39339068052,2.5250579951,,P1
0.24106574113,15.977520905,0.22186633148,16.028472828,0.39339810846,2.5250158756,,P1
0.24108255512,15.97655659,0.22193223618,16.027860018,0.39340544426,2.5249737453,,P1
