P,L2-NORM,C_in,C_SR,y,point_type,system_id
0.0,27.414609361,0.16094200313,27.409088135,0.52610999346,EP,P1
1.4468810907e-05,27.414813989,0.16094902578,27.409294087,0.52604097499,,P1
3.1888875159e-05,27.415013177,0.16095528332,27.409493644,0.52602192716,,P1
6.6522125331e-05,27.415408952,0.16096772205,27.409890153,0.52598406764,,P1
0.00013586823712,27.416200473,0.16099262005,27.410683141,0.52590829561,,P1
0.00027489357077,27.417783459,0.16104250324,27.412269063,0.52575652423,,P1
0.0005543448983,27.420949189,0.16114264174,27.41544068,0.52545200297,,P1
0.0011194201958,27.427279559,0.16134460098,27.421782884,0.52483847084,,P1
0.0022793023541,27.439934764,0.16175694723,27.434462081,0.52358842161,,P1
0.0041202114559,27.458897364,0.16240544149,27.45346192,0.52162967086,,P1
0.0072619010506,27.487255791,0.16349577135,27.481881422,0.51835658502,,P1
0.015170744066,27.528765814,0.16615452777,27.523530743,0.51048539213,,P1
0.01874881084,27.530567977,0.16731959783,27.525389003,0.50708730076,,P1
0.019425192429,27.529599224,0.16753733475,27.52443037,0.50645578697,,P1
0.019714174752,27.529055223,0.16763012448,27.523890647,0.5061870067,,P1
0.020104098034,27.528197038,0.16775510122,27.523038189,0.50582531589,,P1
0.020616689047,27.526850729,0.16791900505,27.521699331,0.50535153327,,P1
0.021274821278,27.524756555,0.16812880144,27.519614597,0.50474603237,,P1
0.022104030327,27.521528487,0.16839210931,27.516398217,0.50398758826,,P1
0.023134763317,27.516591946,0.16871783535,27.51147589,0.50305167012,,P1
0.024404731936,27.509089074,0.16911679627,27.503990051,0.50190883661,,P1
0.025961193028,27.497736082,0.16960225297,27.492657219,0.50052348443,,P1
0.027863381383,27.480609346,0.17019040117,27.475554063,0.49885286283,,P1
0.029462612463,27.463427807,0.17068059263,27.45839146,0.49746705146,,P1
0.031517949987,27.437604154,0.17130497171,27.43259097,0.49571059747,,P1
0.034124409701,27.398809726,0.17208791432,27.393824052,0.49352200789,,P1
0.036962473403,27.348924436,0.17292949359,27.343966401,0.49118695517,,P1
0.039436465006,27.299008658,0.17365409864,27.294072801,0.48919108265,,P1
0.041661477572,27.249075058,0.17429881426,27.244157661,0.48742673247,,P1
0.04370288219,27.199129884,0.1748846718,27.194228214,0.48583289123,,P1
0.045601970959,27.14917665,0.17542493763,27.144288599,0.4843710953,,P1
0.047386767375,27.099217522,0.17592860393,27.094341395,0.48301528775,,P1
0.049077305208,27.049253917,0.17640209165,27.044388322,0.48174687175,,P1
0.050688483614,26.999286814,0.17685017091,26.994430578,0.48055203836,,P1
0.052231732911,26.949316914,0.17727649745,26.944469032,0.47942020926,,P1
0.053716045196,26.899344732,0.17768394445,26.894504334,0.47834307423,,P1
0.055148642581,26.849370663,0.17807481735,26.844536981,0.47731396775,,P1
0.056535427439,26.799395009,0.17845099865,26.794567364,0.47632744934,,P1
0.05788129563,26.74941801,0.17881404845,26.744595794,0.47537901186,,P1
0.05919036041,26.699439859,0.17916527639,26.694622523,0.47446487321,,P1
0.060466116267,26.649460711,0.17950579418,26.644647757,0.47358182403,,P1
0.061711561252,26.599480696,0.17983655482,26.594671669,0.47272711403,,P1
0.06292928996,26.54949992,0.18015838244,26.544694401,0.47189836576,,P1
0.064121565319,26.499518473,0.18047199523,26.494716078,0.471093508,,P1
0.065290374796,26.449536431,0.1807780235,26.444736802,0.47031072365,,P1
0.066437474964,26.39955386,0.18107702388,26.394756665,0.4695484085,,P1
