P,L2-NORM,C_in,C_SR,y,point_type,system_id
0.0,27.342982533,0.15880300105,27.337524414,0.52271819115,EP,P1
1.1727400628e-05,27.34318193,0.15880928606,27.337724019,0.52270754252,,P1
2.6940831996e-05,27.343380295,0.1588149597,27.337922699,0.52269133863,,P1
5.7383145401e-05,27.34377702,0.15882631106,27.338320057,0.52265892051,,P1
0.00011833070561,27.344570461,0.15884903041,27.339114765,0.52259404225,,P1
0.00024048271779,27.346157305,0.15889453743,27.340704144,0.52246411259,,P1
0.00048585630331,27.349330833,0.15898583959,27.343882753,0.52220351935,,P1
0.00098123036061,27.355677183,0.15916971868,27.350239306,0.52167905582,,P1
0.0019935172275,27.368366447,0.15954363043,27.362949197,0.5206140833,,P1
0.0035812078689,27.387388612,0.16012518147,27.382003097,0.51896180146,,P1
0.0061969728796,27.415878317,0.16107060363,27.410543378,0.51628664244,,P1
0.011269767674,27.458354439,0.16286110929,27.453111277,0.51125920028,,P1
0.015759974143,27.478912624,0.1644014543,27.473743559,0.50697732886,,P1
0.018551546317,27.482584635,0.16533923375,27.477458231,0.50439103653,,P1
0.019477299285,27.482175711,0.16564699017,27.47706288,0.50354577279,,P1
0.019863275153,27.481761026,0.16577483677,27.476653771,0.5031951525,,P1
0.020203948057,27.481274792,0.16588745118,27.476172416,0.50288655834,,P1
0.020649976058,27.480466977,0.16603457285,27.475370932,0.50248376146,,P1
0.021216833866,27.479158796,0.16622103064,27.474070702,0.50197385111,,P1
0.021921827784,27.477089603,0.16645212099,27.472011251,0.50134279229,,P1
0.022787131947,27.473875354,0.1667345515,27.468808735,0.50057290999,,P1
0.023841978616,27.468944482,0.16707706795,27.463891836,0.4996412848,,P1
0.025124214118,27.461441937,0.16749082335,27.456405791,0.49851891343,,P1
0.026681835766,27.450086098,0.16798967455,27.445069286,0.49717014953,,P1
0.028574980435,27.432954864,0.16859053258,27.427960513,0.49555211645,,P1
0.030162088703,27.415769702,0.16908975054,27.410793317,0.49421328593,,P1
0.032198871536,27.389941971,0.16972452687,27.384987504,0.49251821407,,P1
0.034779704511,27.351143335,0.17051960236,27.346214838,0.49040679511,,P1
0.037589218376,27.301254491,0.17137371822,27.29635203,0.48815333019,,P1
0.040038636069,27.251336295,0.17210896154,27.246454681,0.48622592155,,P1
0.042242106132,27.201400941,0.17276311659,27.196536647,0.48452088672,,P1
0.04426432083,27.15145444,0.17335756551,27.146604872,0.48297957672,,P1
0.046146091702,27.101500171,0.17390577948,27.096663326,0.48156505562,,P1
0.047915094366,27.051540215,0.17441688262,27.046714486,0.48025231515,,P1
0.049591103906,27.001575938,0.17489738703,26.99676,0.47902351205,,P1
0.051188822245,26.95160828,0.175352129,26.946801019,0.47786539873,,P1
0.052719525967,26.901637916,0.17578481432,26.896838377,0.47676782716,,P1
0.054192085024,26.851665345,0.17619835509,26.846872699,0.47572282492,,P1
0.055613622853,26.801690944,0.17659508787,26.796904462,0.47472399688,,P1
0.056989960953,26.751715007,0.17697692048,26.746934042,0.47376612269,,P1
0.058325928045,26.701737766,0.17734543401,26.696961738,0.47284487701,,P1
0.059625581029,26.651759406,0.17770195573,26.646987792,0.47195662978,,P1
0.060892366606,26.601780077,0.17804761235,26.597012402,0.47109830014,,P1
0.062129241953,26.551799906,0.1783833698,26.547035735,0.47026724752,,P1
0.06333876642,26.501818994,0.17871006337,26.497057929,0.46946118894,,P1
0.064523172323,26.45183743,0.17902842107,26.447079102,0.46867813511,,P1
0.065684420371,26.401855286,0.17933908182,26.397099355,0.46791634056,,P1
0.066824243605,26.351872626,0.17964260994,26.347118773,0.46717426402,,P1
0.067944182634,26.301889505,0.17993950668,26.297137434,0.46645053673,,P1
0.069045614173,26.251905969,0.18023021963,26.247155401,0.46574393681,,P1
0.070129774384,26.20192206,0.18051515035,26.197172734,0.4650533682,,P1
0.071197778129,26.151937812,0.18079466075,26.147189483,0.46437784343,,P1
0.072250634964,26.101953259,0.18106907825,26.097205693,0.46371646924,,P1
0.073289262535,26.051968428,0.18133870025,26.047221404,0.46306843455,,P1
0.074314497877,26.001983344,0.18160379781,25.997236653,0.46243300032,,P1
0.075327106979,25.951998029,0.18186461874,25.947251472,0.461809491,,P1
0.076327792963,25.902012503,0.18212139036,25.89726589,0.46119728719,,P1
0.077317203082,25.852026785,0.18237432172,25.847279934,0.46059581935,,P1
