BR,PT,TY,LAB,P,L2-NORM,C_in,C_SR,y,stability,system_id
1,1,EP,1,0.00000E+00,2.73430E+01,1.58803E-01,2.73375E+01,5.22718E-01,3,P1
1,101,,0,1.14040E-01,2.37026E+01,1.91168E-01,2.36977E+01,4.40678E-01,3,P1
1,201,,0,1.92425E-01,1.87041E+01,2.07068E-01,1.86984E+01,4.09677E-01,3,P1
1,246,HB,2,2.33739E-01,1.64853E+01,2.14353E-01,1.64791E+01,3.97601E-01,1,P1
1,301,,0,3.00629E-01,1.37371E+01,2.25031E-01,1.37300E+01,3.82185E-01,1,P1
1,401,,0,5.65238E-01,8.74896E+00,2.59179E-01,8.73817E+00,3.48667E-01,1,P1
1,426,HB,3,7.25060E-01,7.54545E+00,2.76266E-01,7.53277E+00,3.39124E-01,1,P1
1,480,UZ,4,1.99994E+00,5.37281E+00,3.87647E-01,5.34815E+00,3.37772E-01,3,P1
